mrun;rbd_admitido_geo_con_error;orden_postulantes
5283;8457;2254
12406;8422;1088
18586;24305;744
44981;8411;2707
57159;8439;2448
58727;8427;513
68038;8422;3399
88661;8442;3390
104064;8441;578
104614;8421;2695
107415;8458;762
113213;11678;2594
125447;8458;2600
126238;11687;2528
142772;8424;3392
149440;24317;1900
161320;11678;163
162650;8427;895
167709;8442;1701
172515;16895;2321
201194;8454;769
201891;24300;3064
222230;8450;846
226397;24316;583
232780;8454;3362
264726;8458;1498
279322;24305;2985
284555;24313;3189
291892;8429;239
307440;8421;1674
331447;24319;3123
353847;8448;2572
359194;24305;980
379056;8435;2403
379139;8454;2893
390115;8436;1167
399210;11678;368
420921;8429;1221
422370;8424;1155
443134;8457;2997
444757;24313;518
451226;8412;1441
452098;8439;2737
457907;8411;3271
462049;24327;2289
463089;24329;761
464891;8455;2300
468826;8412;2322
499192;8424;703
500774;11687;2610
524187;8439;2675
526488;8483;1008
565108;24329;1656
569340;8437;161
573647;8438;240
576951;24327;3160
577844;8458;2689
581418;8425;284
596350;8442;864
606372;8413;2150
615503;24307;2515
635479;8444;1787
636466;24318;1937
644193;8436;654
651822;8429;1606
658517;24318;50
667398;8449;2134
672754;8442;732
673405;8441;1851
680210;24329;553
681559;11687;777
685648;8430;3393
693547;8441;2923
693593;24338;2601
700194;8424;1029
701460;8424;1908
710788;8417;1629
715445;24316;431
729270;24307;1624
733805;8433;316
735075;24300;272
735981;8412;1974
740769;8413;1746
758028;8454;2262
768654;8442;39
771925;24300;543
790826;8444;1578
807521;8474;2192
815005;24329;867
822731;8439;2665
823920;24329;1874
827484;8425;1038
833209;8454;1890
833458;8421;696
835909;8435;3263
842863;8427;3136
854184;8439;2313
856570;24300;2361
859087;24318;3238
875047;24300;3376
885452;8439;1543
894377;8427;1445
897166;24316;151
898252;24313;1901
899536;8434;516
915104;24316;1326
923657;8454;3047
924076;8439;120
936112;8415;2605
939474;24318;2022
952138;24316;1767
953531;8455;1233
960107;24316;2239
961934;8455;2477
966961;24318;1756
977497;11678;389
993720;8435;3046
1005746;24318;2478
1006389;11678;2669
1012376;8458;2539
1021374;24329;233
1028846;8441;3103
1033074;8444;1561
1034071;8430;2819
1034501;8427;1500
1066094;24329;1099
1081047;11678;3280
1091731;24307;2798
1094209;11680;414
1100171;8435;2438
1102298;8474;1572
1116787;8424;1270
1126339;8411;1117
1129968;24334;3101
1139829;24311;2735
1150351;8458;1047
1153540;8474;2179
1159757;8434;2986
1181351;24305;1
1197352;8457;2027
1207545;11680;1282
1217853;24316;3162
1230885;24318;3293
1232100;8437;2079
1249543;8422;219
1256155;8436;2042
1256646;8442;2822
1258878;8421;2580
1268266;8442;997
1268612;24338;1066
1293977;8455;211
1297390;11680;1030
1301542;8412;2762
1304620;24329;3298
1308011;8424;1831
1309705;8474;2552
1312574;8430;26
1324547;8438;3213
1326134;24307;1548
1329370;8439;2963
1343681;24319;346
1356234;24311;3313
1357068;8457;1579
1358867;8438;322
1360920;24307;906
1365932;24319;931
1369699;24313;720
1373008;24319;699
1376916;24316;1780
1401265;8442;1301
1410278;8430;1892
1413259;11678;512
1422825;24300;2887
1431858;8457;1726
1445276;8430;1061
1451613;24318;2659
1452055;8425;1811
1464643;8442;642
1473382;8434;1069
1484689;8429;1172
1490863;8433;631
1513104;8448;1557
1514269;8438;713
1521460;8442;1402
1546986;8442;2335
1548219;8455;1412
1562693;8454;2603
1589123;8433;3149
1591128;8433;467
1593418;11678;1753
1611255;8436;763
1616557;24300;348
1617944;8429;1241
1628248;8454;750
1640020;11678;3307
1648657;8425;2094
1649185;24316;2231
1662769;8433;2425
1673975;24307;920
1681878;8424;1409
1686652;8413;812
1698514;8458;1880
1703937;24319;514
1710708;8439;855
1718921;8474;1501
1735262;24302;2723
1745612;24302;1741
1759497;11678;288
1760297;8458;1812
1762342;24311;2763
1767082;24316;1169
1768529;8455;3412
1771721;24317;2044
1784011;24316;2380
1784094;8457;490
1793020;24316;1806
1793339;24300;1468
1794444;8434;767
1800406;11680;2767
1806487;8435;871
1838705;24300;1336
1838838;8430;3039
1842235;8435;2527
1854506;24305;842
1854876;24313;1614
1855063;8474;2533
1878115;8474;1833
1893270;8412;510
1921507;8442;1530
1922900;8474;1731
1925181;8441;458
1941315;8436;1449
1969475;8433;1338
1983912;8412;2658
1985491;8441;884
1985961;24338;611
2008726;24300;1115
2021562;24311;957
2023165;24302;1679
2024178;8442;1940
2030289;8449;2890
2045740;24311;2711
2049838;8425;2968
2063087;8457;3404
2065263;8424;2457
2066353;8412;1544
2068888;8429;1768
2069154;8455;2127
2085569;8454;1975
2091645;8457;1280
2092615;24300;2577
2099023;24316;2093
2106606;8411;2149
2114855;8424;1395
2118883;8441;2750
2121596;24318;1775
2123717;8425;2417
2124113;8415;1943
2124301;8434;1374
2125988;24305;3367
2140285;8434;2393
2141251;8433;929
2156243;8455;1253
2159013;8427;2164
2170862;8442;2243
2185827;24302;3267
2191139;11687;463
2191402;8433;1845
2194123;8412;2432
2206270;8441;2664
2223365;8458;311
2225840;24305;1477
2232067;8438;2570
2241811;8422;9
2260416;8458;252
2266289;8454;405
2274429;8457;2031
2283458;8435;1228
2287603;8437;987
2288503;24300;28
2313934;24329;1488
2329161;8422;123
2356919;24329;1604
2361035;8422;1230
2361168;24316;844
2365600;8457;3076
2372558;8433;2504
2373937;8436;1108
2393410;8427;2649
2394176;8412;1254
2405122;8422;2294
2408804;8454;2631
2408825;24327;498
2410423;24327;3219
2411009;11678;915
2412003;24307;2502
2415352;11678;1484
2420878;8435;1804
2423287;24329;2759
2435338;24311;2827
2443755;24317;1888
2446620;24313;3261
2461367;8435;2608
2463336;24329;3254
2464097;8412;1547
2464325;8457;1197
2464644;8427;201
2469223;8421;786
2483580;8442;435
2495732;8427;1416
2498436;24334;1219
2508552;8455;2607
2511459;24327;2519
2513221;8444;3270
2514197;24300;482
2526750;8412;2452
2530130;24334;748
2537986;8444;675
2538543;16895;1466
2539352;8441;2566
2544819;8474;333
2553411;24300;1819
2556428;8430;3274
2571706;16895;2332
2572357;11678;3057
2593085;24311;1683
2596645;24329;2143
2616508;8439;2604
2622182;24338;2725
2624176;8412;2771
2634465;8474;560
2643544;11678;1473
2649468;24307;2374
2650402;24329;870
2664652;8421;2753
2678300;24329;626
2694690;24307;1616
2697360;8441;280
2699721;24329;1597
2712711;24318;1026
2718031;8454;2854
2753495;8454;755
2755112;8442;3326
2756112;8411;1034
2758201;8424;2318
2759494;11680;568
2768520;8438;1399
2768569;8425;1658
2773286;8422;2402
2777521;8429;1325
2779587;8436;774
2784767;24329;1984
2789856;24338;148
2790926;8433;2391
2804042;24327;37
2811336;8424;2153
2827890;8435;2002
2840468;8433;2557
2844239;24319;220
2849275;8455;1091
2859980;8429;3180
2861396;8430;1371
2878644;8454;3048
2878972;24313;2874
2879018;8458;2428
2885432;8458;966
2887283;8435;1137
2901116;24318;2671
2918339;24311;308
2939942;24329;2407
2952864;8442;3330
2968267;24327;2715
2972855;8441;23
2981534;8454;1427
2992868;24329;1459
3007729;8441;2549
3011869;24316;1243
3014866;24338;2712
3023993;24316;3287
3026114;11678;1877
3028848;8454;2692
3034629;11680;1415
3050471;24300;2148
3062879;8441;3122
3064065;24302;3310
3074500;8433;2463
3084546;8433;3169
3089801;8438;862
3092018;11680;3182
3094743;11678;1004
3098307;8435;334
3104995;24327;483
3112279;24319;2225
3123149;8424;492
3126909;8457;614
3134114;8434;223
3138166;8411;3008
3144107;8474;3222
3169246;8425;890
3179863;8454;1743
3181331;8454;3151
3201105;8442;1647
3205664;8427;2727
3205767;24311;910
3217356;8433;2439
3222336;8411;2101
3223070;24300;3038
3225031;8436;2194
3229715;24319;1823
3231892;8424;293
3236570;8458;1058
3249150;8475;1358
3254005;8454;1676
3265861;8441;650
3268677;8433;584
3287766;11678;1182
3288239;8483;1801
3288609;24317;2358
3291559;8424;2853
3300872;11678;172
3310562;24329;507
3314530;8444;922
3322377;24307;3363
3369891;8433;8
3370595;8455;2277
3372972;8444;3360
3395313;8454;378
3400003;24319;1582
3414224;8454;2541
3425387;8444;2897
3425514;24313;3350
3434826;8458;403
3436832;8439;2959
3452160;24327;1021
3459506;8458;1808
3463165;24307;1385
3472397;24329;1232
3475057;8457;706
3479091;16895;2067
3480459;8437;3236
3486720;24302;2204
3490186;8439;1213
3491311;8457;2971
3494255;8424;3232
3494256;24316;2779
3499601;8413;285
3502874;8439;3429
3506527;24313;3031
3507002;8470;3115
3508468;8433;1586
3512280;8427;2865
3516532;8439;674
3521586;8458;3116
3536222;24302;1696
3542961;24327;1203
3550852;11680;170
3563553;24329;2516
3570938;8442;2157
3575476;24317;909
3583895;8422;677
3588312;8424;885
3595013;8430;1106
3599600;8441;927
3604955;8458;2536
3606785;24313;1041
3626660;8475;1005
3628621;24316;477
3633795;8424;1453
3647928;8425;335
3651423;8421;1170
3660081;8425;58
3675848;8427;2078
3692627;8458;640
3694179;24318;949
3695688;11678;3084
3702804;24316;2848
3706327;8454;2903
3720901;8425;1084
3726930;24338;758
3727420;24319;2800
3758239;8425;659
3763556;8433;2558
3767458;8427;1143
3769115;24317;371
3770911;8455;2627
3782332;8437;411
3789335;24327;1382
3810701;24313;406
3813295;24318;1675
3815321;8412;153
3817100;24319;2240
3817521;24302;1187
3821278;11678;1999
3862416;11687;271
3869360;8457;2728
3880385;24329;2537
3881734;24316;2508
3885456;8454;2212
3897659;24327;2353
3898060;8457;241
3923175;8439;2573
3933039;24319;3075
3934641;8411;224
3951707;8454;2298
3959264;8442;1651
3963263;8421;2404
3977851;8415;2102
3978181;24319;366
3989499;24319;1123
3994868;8454;3163
4005930;8439;3037
4018706;8415;2935
4021262;8413;318
4022188;8422;878
4027629;8455;995
4031541;8454;2210
4034062;8433;2710
4045299;8470;363
4053435;8411;604
4056415;8421;124
4057550;8421;673
4057936;8474;621
4061593;8425;2263
4069648;24329;1509
4076013;8429;2169
4078029;8417;835
4084505;8454;165
4099218;8455;1573
4099981;24327;79
4117671;8411;810
4120438;8424;1001
4125276;24327;3206
4127677;8425;2859
4138192;8424;1972
4140701;8442;1247
4141328;24300;800
4141350;24318;1224
4142843;24319;2682
4166088;8454;339
4172131;8474;2233
4174550;8442;1857
4199704;24329;3292
4200711;24327;238
4209953;8424;1650
4218200;8454;2719
4223003;24338;3380
4223585;8434;562
4230657;24329;2271
4239837;8433;1310
4250840;8433;753
4255029;8454;388
4257951;8411;3107
4259466;8474;1490
4272547;24317;2797
4272906;8475;2464
4278609;8454;188
4289439;8412;3386
4290511;8433;1584
4307507;11680;2585
4316465;16895;1672
4318190;8444;1094
4337153;8424;2553
4337768;8457;102
4347983;24307;1215
4353735;24313;1655
4356242;8411;2652
4358385;24300;1774
4358936;8429;2876
4359279;24327;2217
4372323;8441;3375
4382518;24307;2314
4384062;8425;981
4384637;24305;2424
4394129;8433;2788
4394759;24311;1860
4407316;24316;1235
4409662;8455;2205
4411444;8444;1020
4427842;24316;985
4432486;8429;73
4435390;24329;3125
4440075;24316;1910
4441680;24329;2678
4444714;24313;2336
4445853;8442;283
4446348;8425;484
4457586;8436;1626
4461148;8442;1510
4463779;24319;1260
4467027;24302;217
4470309;8439;1063
4479922;24311;1132
4480866;24300;784
4483872;24334;2178
4504381;24311;2900
4507181;8430;2683
4512326;24317;3290
4531029;24329;859
4534562;24300;2085
4552297;8435;799
4565839;8412;2162
4578090;8427;2872
4581531;8455;63
4583136;24316;591
4588885;8444;2807
4601376;8454;3331
4607104;24300;2137
4608011;24329;1621
4621327;8439;2451
4640747;24313;733
4642230;8454;923
4643897;8442;375
4653490;8424;417
4655888;24302;1985
4656575;8435;3215
4668459;8435;1965
4668808;8427;1941
4671702;24319;1599
4680619;8455;2850
4683724;8424;2722
4686872;11680;3218
4690146;8448;294
4716787;11678;544
4718069;8427;1450
4735497;24317;2317
4740190;8457;2882
4742165;8417;99
4755393;8424;876
4759170;24319;1028
4804364;8454;1590
4811730;8457;2796
4812499;24300;3050
4826021;8441;1140
4833527;24327;1987
4844934;8425;32
4846904;24329;1292
4849237;8458;3135
4867946;8435;3098
4869556;8454;2628
4873556;8438;66
4874344;8454;2568
4876814;8412;1886
4884280;8424;2704
4897586;8438;708
4903770;8442;1803
4916598;8422;2688
4918785;24329;2469
4937266;24319;1355
4939834;24313;352
4975693;8412;1921
4976882;24327;2434
4992551;8425;2898
4999460;8436;1236
5007580;8441;1179
5017131;8427;2105
5020897;8437;1923
5029820;24329;818
5038100;24316;3176
5039785;8475;1684
5042528;24338;432
5043643;8434;2090
5054634;8436;242
5064227;8425;1081
5074028;8439;2912
5097792;24311;2282
5098222;8442;418
5100694;8442;3126
5108788;8422;3158
5111089;24318;471
5117606;8436;314
5148635;8437;317
5155356;24300;2365
5159287;8435;569
5160927;8458;1487
5175306;24307;115
5190357;8415;1603
5196414;8454;1024
5198711;24319;372
5199113;8430;971
5200988;8434;130
5218770;8474;945
5228156;8457;2310
5231347;8449;1471
5252955;8429;2398
5268401;24316;2889
5271129;8441;2510
5274140;8474;2161
5278136;16895;2047
5282385;8435;979
5293876;24313;1145
5301424;8483;2966
5305567;8474;902
5330673;8436;3402
5335619;8411;962
5344413;8422;315
5352829;8413;1032
5370278;8439;525
5374665;8455;978
5380282;8454;192
5413664;8412;2337
5428359;8427;276
5435642;24300;1356
5455984;24311;2574
5466811;24319;3059
5466977;8420;2576
5495840;8454;1388
5499199;8441;2049
5499724;8425;1014
5502969;24300;93
5508763;8442;440
5515552;24319;1475
5517550;8425;1067
5518176;8422;2386
5551532;8458;1162
5552216;11678;850
5557161;8457;3081
5572239;8454;1993
5575851;8429;2805
5577551;8436;630
5587253;8433;1769
5599582;8457;3054
5610755;8474;2758
5632519;24311;620
5635469;8442;291
5645049;8454;3407
5672357;24329;627
5675269;8412;1343
5680102;8442;2706
5693057;8439;227
5700703;8444;1285
5700976;8424;1256
5715838;8429;1519
5715867;8424;791
5720390;8433;1982
5726479;8427;2645
5735440;11678;2667
5738875;8438;1493
5741730;8433;138
5748835;8475;157
5772530;8434;2618
5779446;8424;954
5788245;8457;3212
5812506;8444;78
5830147;8429;2188
5832762;8433;3027
5837031;24316;1362
5840946;8425;413
5846833;8442;2811
5857797;8458;1000
5862846;8413;975
5866369;24327;918
5880167;11687;1049
5880879;24305;3009
5886570;24319;3146
5893527;8442;550
5900644;8454;3161
5902721;8430;1419
5909371;24302;2749
5924755;8421;2486
5932962;8435;2444
5935657;8455;132
5935700;8439;2091
5937699;8442;221
5942262;8425;119
5956003;8437;1882
5966705;24302;1870
5971613;8458;336
5983737;24313;1353
5984958;24329;3128
5993051;8455;2338
5995720;24300;1837
6009105;8436;445
6013707;8441;1646
6020180;8421;2670
6020217;24305;1249
6021393;24317;21
6022289;8454;1432
6025017;16895;2602
6027442;24329;2596
6027815;24319;96
6028632;24319;3078
6030549;8425;1252
6032099;8454;639
6032562;24329;3233
6040149;24318;1988
6041689;8439;191
6048905;24327;1462
6049371;11687;1165
6056059;24302;1396
6065196;8427;1612
6069480;8434;390
6082260;8439;3397
6095871;24329;164
6098511;11678;1700
6114175;8442;988
6120872;24329;2345
6121602;8427;2465
6132112;8427;2764
6146309;8437;261
6149100;8429;2773
6153526;11680;3239
6158494;8454;3344
6160889;24316;3062
6184191;8458;1268
6201995;8455;2632
6206563;24300;1697
6226679;8411;3342
6228783;8434;441
6229417;8454;2001
6242149;8439;628
6242155;24313;2272
6259403;16895;1345
6265560;8458;1689
6266789;8424;2721
6269113;8442;2165
6269499;8434;1481
6274710;8433;2065
6278472;8412;681
6281828;24311;1934
6335519;24327;1015
6338674;8433;495
6342858;8425;594
6346189;8439;3221
6350978;8427;3235
6352794;24319;1552
6355264;8449;1816
6356766;8425;407
6359649;24311;1269
6367302;24300;55
6380821;8429;1946
6397752;24300;1577
6402375;8444;908
6403552;8455;2278
6409348;8444;2111
6423896;24302;1556
6429671;8421;2565
6431519;8421;349
6434337;24327;197
6446039;8425;2242
6450498;24316;1156
6464199;11680;589
6465241;8442;3022
6465295;8442;2055
6474679;8438;1757
6487359;16895;2026
6490384;8444;3317
6514147;8421;2063
6517807;24311;680
6529595;24305;496
6541774;8427;1799
6550742;24316;828
6557442;8439;16
6568166;8458;2703
6568887;24313;2509
6569620;8438;2104
6589848;11680;3127
6589889;8422;3035
6591819;8458;2926
6598007;24318;2599
6598246;8438;2546
6610428;8457;2657
6613975;24311;2994
6616186;8455;1190
6632471;24327;2122
6646390;8455;1569
6661412;8457;118
6663213;8457;721
6668990;24329;2731
6674193;8434;1682
6688442;8438;1065
6701332;24318;770
6705324;8458;1357
6707501;8436;941
6711464;24319;3015
6714419;8433;2241
6722410;8424;1720
6723142;24338;465
6723837;8412;1103
6727681;24302;2981
6732676;8455;2399
6734215;24334;265
6736217;8454;1202
6738401;8433;663
6745273;24302;2427
6746868;8444;1482
6748290;8441;324
6756660;8424;1649
6764400;24316;145
6773637;8424;891
6779199;8442;12
6807101;24300;2548
6807970;8429;2820
6818412;8425;2003
6821200;8427;2323
6821234;8429;215
6826277;8475;1969
6828399;24334;1154
6832409;8429;1562
6844756;8454;2746
6847161;24300;1127
6866510;8429;3100
6871008;8424;524
6876820;8458;1120
6879486;8425;3204
6880995;24300;2269
6894297;8424;2524
6895782;24307;1976
6904554;24313;956
6904898;8425;3049
6920426;8436;3124
6921536;8454;816
6922814;8444;736
6927721;24316;3312
6927794;24307;685
6932978;8413;2208
6943128;8437;538
6953008;8421;3026
6959268;11680;903
6967452;24329;2281
6967870;11680;2784
6968079;8429;408
6971076;8425;1148
6971708;24300;1239
6973849;8424;278
6980921;24317;1694
6983269;24319;727
6992603;8458;2415
6993832;24302;338
6994082;8457;1073
7003595;8429;2886
7014917;8421;1092
7018704;8424;2875
7025951;8454;1724
7031024;8413;2930
7033060;8454;1718
7043627;24302;1027
7049949;24316;617
7068632;8425;131
7077364;24329;580
7080332;8425;1289
7086697;24338;1634
7093307;8433;2293
7094958;8429;2467
7100434;8422;1216
7101540;8430;3269
7109394;8425;529
7110160;8457;1539
7128809;24311;2838
7131231;8411;1031
7139705;8454;2974
7149521;8439;2774
7155494;8424;595
7173332;24329;83
7176981;8449;666
7178271;24305;2955
7185450;8422;2251
7196177;8424;3294
7198733;8434;2498
7205467;8425;1220
7230588;24338;1369
7244664;8458;1673
7250448;8457;539
7274173;11680;2970
7286814;8429;1147
7290893;8470;1807
7309871;8413;946
7316419;24319;1954
7324686;24319;2701
7325107;11687;1706
7342989;24317;1508
7350913;8421;1541
7364027;8442;1479
7373956;8449;546
7383000;24307;2273
7399228;8436;1702
7401395;11678;2768
7417353;8429;2250
7417740;8442;2643
7422142;8458;2530
7432538;24329;1755
7435613;8425;1152
7438312;8413;3209
7439803;8442;698
7441580;24329;1643
7441829;8433;3130
7448875;11678;1365
7458448;24338;1883
7461712;8421;887
7469700;8425;2933
7469778;11678;2660
7471324;8427;1350
7471728;8454;1958
7483330;8458;1764
7504414;8458;394
7506035;8441;1854
7511317;24329;212
7512958;24313;1830
7522919;24319;634
7531992;8436;1885
7541463;8425;924
7542721;8427;2328
7543189;11678;1681
7551073;8413;1704
7551933;8458;2034
7571257;8427;1257
7580872;24318;2299
7589366;24329;1464
7596553;8425;1465
7606008;24313;1207
7607409;8474;1710
7612381;8442;2833
7614339;8421;1436
7626977;8427;2255
7634081;8441;3140
7653451;8454;1598
7660333;8457;603
7660397;24329;176
7662189;24305;740
7672494;8455;811
7676909;8474;3301
7677216;8455;264
7677241;8434;1194
7678130;8437;3306
7688453;24319;564
7691094;8425;1889
7701627;24329;1862
7706297;8438;852
7715723;8417;3314
7718507;8412;3171
7731735;8457;2857
7732903;8412;779
7737782;8421;3021
7742534;8458;205
7754346;24329;2324
7769352;24307;3341
7769891;8483;103
7779890;11678;1781
7812432;8454;2232
7815571;8458;2152
7817093;8429;1119
7819392;24313;2939
7819681;8457;3230
7824070;8436;618
7834770;8433;1570
7837917;8427;374
7841957;24302;2700
7852650;24307;2276
7871914;24329;3007
7873803;8434;826
7876223;24338;1036
7877085;24311;2394
7901671;8436;1513
7931964;8424;1040
7939876;8444;1725
7947188;8427;3079
7953312;24300;535
7958698;8454;557
7960341;24329;1609
7962891;8483;1918
7962892;24313;658
7964360;8413;2951
7966692;8437;494
7974180;8424;2551
7975166;11678;1025
7983893;8437;3252
7991705;11680;571
7995182;8424;1617
8000750;24300;2354
8002532;24319;1945
8005720;11678;256
8013747;8411;1483
8018100;8454;893
8020710;8442;1766
8023726;24302;3133
8027747;8454;1796
8040035;24313;1442
8044841;24311;1772
8049327;8449;2387
8067833;24327;1792
8076543;24305;1952
8076710;24316;2097
8087351;8424;181
8089359;8425;1191
8091312;24316;1669
8092356;8436;1879
8100158;8424;1564
8106416;8424;2988
8115521;8427;772
8128589;24313;1054
8133512;11680;2860
8137955;8475;3355
8137956;24313;3255
8143862;8412;3357
8156772;8435;1698
8166147;8433;2480
8169758;8411;3346
8188750;8454;2339
8196698;8442;1623
8200487;8454;1733
8219760;8439;1805
8219797;8442;1524
8220126;8433;781
8223788;24302;171
8246798;8433;1846
8263269;8448;481
8266484;24313;1420
8273296;24300;2732
8278436;24302;2927
8297903;8454;2895
8307373;8435;478
8312131;8442;1750
8318416;8458;1592
8320095;24329;2803
8336717;24313;2950
8339991;24313;1962
8341715;24318;1231
8346737;8457;1016
8348232;8439;3077
8365592;8454;2663
8372630;8444;1135
8373784;11680;2235
8411563;24300;2054
8413292;8455;488
8415091;8474;2937
8418957;8475;3072
8420546;8483;2730
8429869;24313;1790
8437751;8427;1873
8438285;24329;2636
8444331;8474;2494
8452169;24300;689
8470286;24338;206
8470623;8435;1734
8475985;24313;1406
8483830;8438;2190
8487453;8436;2307
8491245;8427;2556
8497380;8441;470
8498635;8455;3114
8510412;8475;1714
8516138;24316;1250
8533467;8442;3256
8538529;8441;2069
8553573;8412;30
8554163;8424;1618
8555103;8458;193
8564402;8424;2227
8585311;11678;2058
8593058;8424;244
8594423;24316;2739
8595812;8442;1265
8603924;8454;1460
8603925;24313;977
8621216;8436;364
8627165;8439;2125
8628519;8438;1142
8662699;8454;1516
8665440;24329;2641
8673223;8435;637
8675026;8424;2375
8679091;8429;983
8682888;24327;1480
8688078;8454;1380
8689800;24307;3384
8701359;8427;3259
8718499;8442;1763
8722164;11687;1662
8729531;24311;2958
8739055;8439;437
8757348;8421;2074
8769547;24300;2815
8771023;8442;59
8778939;8412;2639
8782191;8434;1431
8807727;8427;2238
8808509;8424;686
8820837;24319;2757
8832891;24307;662
8833153;8436;802
8839576;24313;1712
8842333;24307;3228
8845099;8427;1838
8846603;8454;359
8847842;24327;2575
8851988;8430;2609
